Субъект;Число гостиниц, 2018;Число гостиниц, 2019;Число гостиниц, 2020;Число гостиниц, 2021;Число гостиниц, 2022;Число гостиниц, 2023;Число мест в гостиницах, 2018;Число мест в гостиницах, 2019;Число мест в гостиницах, 2020;Число мест в гостиницах, 2021;Число мест в гостиницах, 2022;Число мест в гостиницах, 2023;Число хостелов, 2018;Число хостелов, 2019;Число хостелов, 2020;Число хостелов, 2021;Число хостелов, 2022;Число хостелов, 2023;Число мест в хостелах, 2018;Число мест в хостелах, 2019;Число мест в хостелах, 2020;Число мест в хостелах, 2021;Число мест в хостелах, 2022;Число мест в хостелах, 2023;Число санаторно-курортных организаций, 2018;Число санаторно-курортных организаций, 2019;Число санаторно-курортных организаций, 2020;Число санаторно-курортных организаций, 2021;Число санаторно-курортных организаций, 2022;Число санаторно-курортных организаций, 2023;Число мест в санаторно-курортных организациях, 2018;Число мест в санаторно-курортных организациях, 2019;Число мест в санаторно-курортных организациях, 2020;Число мест в санаторно-курортных организациях, 2021;Число мест в санаторно-курортных организациях, 2022;Число мест в санаторно-курортных организациях, 2023
Белгородская область;97;101;103;100;101;99;4753;5144;5390;5437;5439;5486;7;11;11;11;10;8;192;288;367;366;260;200;11;11;11;11;11;11;1969;1938;1969;1969;2212;1999
Брянская область;74;78;86;92;91;93;3436;3507;3782;4131;4254;4414;0;0;0;0;2;3;0;0;0;0;…1;…1;15;14;14;14;14;13;2953;2829;2430;2837;2672;2937
Владимирская область;100;100;114;119;121;125;7679;8059;8815;8446;8913;10049;20;18;13;13;19;14;954;914;682;590;964;754;6;7;6;8;9;8;1220;1324;1205;1530;1542;1328
Воронежская область;141;147;151;163;170;179;9605;10419;10040;10500;10390;11468;18;10;8;7;11;9;1257;505;455;215;353;269;16;15;15;15;14;14;3241;3302;3320;3320;3243;3337
Ивановская область;48;52;55;74;64;59;2774;2998;3009;3796;3283;3353;7;6;6;11;9;9;184;144;139;191;255;201;14;14;14;17;15;15;4347;4341;4485;4616;4396;4293
Калужская область;91;96;93;95;91;88;7330;7304;7029;7193;6981;6785;8;8;7;8;10;12;432;583;503;515;659;684;10;10;10;9;8;8;2364;2368;2368;2170;1986;2029
Костромская область;61;56;62;65;61;64;3194;2916;3057;3653;3676;3769;7;7;5;7;7;8;356;336;204;233;259;328;12;12;12;10;9;11;1909;1909;1889;1701;1641;1899
Курская область;66;69;65;61;63;71;3261;3075;2981;3040;3539;4254;3;3;6;6;5;8;…1;…1;476;932;922;929;10;10;10;8;8;8;1507;1557;1552;1082;1202;1252
Липецкая область;62;61;68;73;69;78;4393;4951;3615;3860;3364;3730;8;8;6;7;5;6;350;382;453;486;403;565;6;6;5;5;5;5;…1;…1;…1;…1;…1;…1
Московская область;301;354;366;437;484;540;35210;41143;40828;49075;51476;54931;39;55;52;109;157;223;5822;11083;11672;25551;32842;55395;81;84;86;86;87;89;21382;21181;21579;21589;22012;22457
